,aid,view,danmaku,reply,favorite,coin,share
988,1739,3446,148,26,31,1,0
989,1735,-1,20,5,11,0,3
990,1731,980,58,6,6,0,0
991,1740,10845,154,18,104,8,1
992,1742,881,75,13,1,0,0
993,1745,7001,348,41,47,5,11
994,1744,1279,40,23,9,1,2
995,1747,964,25,17,11,0,1
996,1749,-1,11,25,13,2,0
997,1748,1069,18,10,11,1,3
998,1750,20574,1143,47,365,9,8
999,1752,5089,160,17,2,7,1
1000,1753,3222,83,16,11,7,1
1001,1756,-1,2186,600,1484,185,78
1002,1758,2113,107,36,12,4,2
1003,1759,738,24,2,2,6,0
1004,1763,1128,24,12,3,0,0
1005,1764,2354,192,6,3,0,0
1006,1769,54991,786,555,780,200,60
1007,1772,46641,1025,129,615,50,28
1008,1777,1201,6,6,9,2,0
1009,1766,6768,103,83,312,21,10
1010,1771,6277,240,62,43,13,0
1011,1775,-1,1710,109,523,5,4
1012,1782,3617,1042,17,28,0,9
1013,1774,2671,98,3,1,0,2
1014,1778,882,44,11,2,0,0
1015,1783,1705,25,4,9,1,1
1016,1784,1708,50,7,6,0,2
1017,1781,785,39,12,5,0,0
1018,1780,1325,69,7,2,0,0
1019,1779,852,45,9,2,0,1
1020,1785,7150,237,40,163,6,1
1021,1787,-1,75,48,19,3,1
1022,1786,10546,331,21,171,6,1
1023,1788,4643,101,17,15,1,1
1024,1789,6871,24,12,16,2,2
1025,1792,8055,70,23,52,2,0
1026,1794,2942,50,6,13,5,0
1027,1791,1790,31,5,0,1,0
1028,1800,2643,28,11,13,0,0
1029,1799,99749,1867,812,2330,492,109
1030,1798,120694,12614,244,2193,63,5
1031,1797,867,15,4,5,1,0
1032,1795,-1,298,47,238,15,9
1033,1802,687,75,8,8,0,0
1034,1804,2259,141,13,3,0,0
1035,1801,4230,106,29,12,1,0
1036,1810,7778,226,31,68,12,15
1037,1811,2542,149,35,9,0,0
1038,1806,1430,17,12,12,0,0
1039,1809,1250,31,18,3,0,0
1040,1815,2383,166,23,1,0,1
1041,1819,958,16,3,3,1,0
1042,1820,3878,489,22,4,0,1
1043,1825,1315,20,7,4,0,1
1044,1830,4864,312,21,69,2,0
1045,1829,6407,221,40,146,15,2
1046,1827,4943,18,25,75,8,5
1047,1836,809,1,1,2,2,1
1048,1832,2814,80,22,22,1,0
1049,1839,1497,17,10,8,2,0
1050,1833,1202,36,6,15,1,1
1051,1838,6244,374,30,11,1,0
1052,1840,1032,28,10,5,0,0
1053,1834,50056,1378,114,578,34,89
1054,1841,1382,40,8,11,2,2
1055,1842,3144,133,20,24,0,0
1056,1844,4827,90,27,143,5,1
1057,1848,36037,0,288,125,10,1
1058,1846,5280,117,14,62,2,0
1059,1843,4966,133,37,44,1,2
1060,1849,6079,378,65,54,7,2
1061,1851,-1,310,76,96,10,12
1062,1852,1738,66,17,5,0,0
1063,1850,2927,30,14,13,3,0
1064,1855,30525,447,74,1452,74,37
1065,1856,1453,5,3,7,4,0
1066,1853,1842,95,11,8,1,0
1067,1863,1300,3,2,2,2,0
1068,1860,3903,92,19,25,1,1
1069,1862,1618,10,7,13,0,1
1070,1857,5246,194,24,22,7,0
