,aid,view,danmaku,reply,favorite,coin,share
2680,4297,1484,57,6,48,2,0
2681,4293,18055,216,54,256,9,8
2682,4295,811,22,11,1,0,1
2683,4298,10165,105,152,448,24,14
2684,4296,518,7,11,2,1,0
2685,4299,16338,240,9,1,0,0
2686,4300,99612,1212,721,2501,133,15
2687,4301,12893,488,103,19,0,1
2688,4303,9870,72,26,8,3,0
2689,4304,536,55,7,12,1,1
2690,4305,1015,21,11,9,0,1
2691,4306,556,14,3,2,0,1
2692,4308,48003,499,93,1207,157,22
2693,4316,1208,29,2,11,0,0
2694,4318,1458,18,6,5,0,3
2695,4321,4772,117,31,5,0,1
2696,4311,4343,325,37,41,3,3
2697,4314,2334,32,15,6,0,0
2698,4317,109979,3263,82,69,67,2
2699,4312,976,6,4,3,0,4
2700,4320,12201,1114,38,102,6,0
2701,4322,1449,12,7,2,0,0
2702,4323,22999,465,18,47,8,1
2703,4315,11328,615,54,89,7,12
2704,4325,1418,92,19,3,0,0
2705,4345,3948,271,26,11,2,0
2706,4344,8833,710,103,9,0,0
2707,4349,4122,52,20,36,0,1
2708,4346,3260,111,20,82,5,3
2709,4350,3533,363,43,20,2,1
2710,4355,751,6,4,1,0,0
2711,4354,2849,391,13,24,4,2
2712,4356,4163,129,53,38,4,1
2713,4358,1912,85,5,2,1,0
2714,4359,824,34,5,3,0,0
2715,4362,44998,9311,411,1764,54,12
2716,4361,2779,301,25,12,0,0
2717,4360,1397,196,4,1,0,0
2718,4365,9213,653,23,41,4,0
2719,4363,3265,121,20,44,6,2
2720,4369,5202,140,17,24,1,0
2721,4370,802,15,5,1,0,0
2722,4366,4708,632,91,9,0,1
2723,4374,14464,1169,48,85,13,7
2724,4379,4045,399,11,11,0,0
2725,4383,62964,7892,243,3358,130,30
2726,4378,4544,590,33,16,0,1
2727,4380,1809,71,6,13,0,0
2728,4381,18523,512,9,261,6,1
2729,4384,30791,1615,45,279,29,21
2730,4385,2168,38,5,3,0,1
2731,4389,3186,547,42,37,0,1
2732,4391,2378,85,12,5,0,0
2733,4393,1456,112,4,3,0,0
2734,4395,8254,466,29,59,0,0
2735,4398,-1,23,15,3,0,0
2736,4404,3680,817,13,8,6,0
2737,4406,31299,1878,27,158,29,10
2738,4403,2986,53,16,21,1,2
2739,4397,3437,151,21,7,0,1
2740,4414,1711,36,16,16,1,1
2741,4410,1337,2,9,2,0,1
2742,4419,4800,114,16,105,1,3
2743,4408,1335,60,8,1,0,1
2744,4416,850,14,9,7,0,1
2745,4420,1173,11,9,8,0,1
2746,4413,3233,129,41,46,6,1
2747,4417,36575,4018,232,1435,143,43
2748,4418,3512,196,29,46,3,1
2749,4421,-1,114,10,5,4,0
2750,4424,9860,671,57,84,6,4
2751,4422,881,14,6,5,0,1
2752,4428,1764,86,5,1,2,1
2753,4431,1440,0,13,7,3,1
2754,4434,1016,5,7,8,1,0
2755,4438,60604,5004,129,1537,135,20
2756,4437,363279,10022,293,2109,251,188
2757,4441,4524,62,11,56,12,4
2758,4440,1243,33,6,1,2,0
2759,4436,4020,75,27,27,3,0
2760,4435,3846,112,11,38,4,2
2761,4439,4752,222,35,13,3,2
2762,4442,2343,93,14,31,4,2
2763,4449,1205,63,7,2,0,0
2764,4452,3546,99,24,54,1,1
2765,4450,167591,3174,739,4173,444,145
2766,4453,2630,90,15,16,1,0
2767,4451,1320,105,11,15,0,1
2768,4448,1050,57,14,16,1,1
2769,4454,738,12,6,2,0,0
2770,4455,5109,223,40,72,5,0
2771,4460,13565,528,44,57,4,1
2772,4456,2103,606,16,14,0,0
2773,4459,563,9,5,2,0,0
2774,4457,1070,56,3,4,0,1
2775,4461,2212,25,19,12,0,1
2776,4467,611,23,3,7,1,0
2777,4465,666,24,6,2,0,0
2778,4463,10866,546,21,71,8,0
2779,4466,708,20,3,2,0,0
2780,4464,4053,336,8,20,1,2
2781,4472,1591,32,12,8,0,0
2782,4473,869,26,11,10,0,0
2783,4462,1128,63,5,3,0,1
2784,4479,507,6,2,2,1,1
2785,4468,731,49,9,12,0,0
2786,4477,633,11,5,9,1,0
2787,4476,-1,18069,752,4134,250,122
2788,4484,1831,641,18,4,0,0
2789,4475,2879,48,13,11,0,0
2790,4478,2839,257,7,10,2,1
2791,4482,1226,26,8,4,0,2
2792,4480,4520,539,15,19,1,1
2793,4488,2334,536,20,12,4,2
2794,4486,16199,279,28,262,10,41
2795,4489,1712,88,11,3,2,0
2796,4491,1679,50,7,2,1,0
2797,4490,638,8,1,0,1,0
2798,4494,1141,75,7,8,0,0
2799,4492,1252,20,10,13,2,1
2800,4495,40773,19770,233,123,8,12
2801,4493,2899,34,4,14,1,0
2802,4498,3223,41,15,75,8,0
2803,4496,2516,47,16,20,2,3
2804,4500,4190,2183,85,25,7,0
2805,4497,2393,112,27,19,2,0
2806,4503,2948,38,7,20,1,1
2807,4502,1738,14,4,4,0,0
2808,4505,6979,150,22,166,17,13
2809,4504,1075,135,12,4,0,0
2810,4506,4952,514,39,128,15,6
2811,4507,513,9,4,1,0,0
2812,4510,2859,98,9,5,0,0
2813,4508,3790,195,39,4,1,1
2814,4509,531,2,5,2,0,1
2815,4514,2282,47,21,16,0,1
2816,4511,8588,135,23,57,2,0
2817,4516,79124,12401,86,306,10,2
2818,4513,3386,231,15,12,0,1
2819,4518,134089,24394,108,790,45,2
2820,4519,2670,104,22,3,0,1
2821,4523,2644,153,9,4,0,0
2822,4517,1075,44,3,22,2,0
2823,4524,4029,246,26,38,1,1
2824,4525,6452,712,28,127,3,3
2825,4526,1571,19,5,1,0,0
2826,4527,1265,31,7,6,1,1
2827,4529,7224,303,24,25,0,1
2828,4530,1398,13,13,3,0,0
2829,4532,6654,471,47,128,7,1
2830,4528,1523,71,5,10,0,1
2831,4533,6860,178,15,72,2,0
2832,4531,6857,479,33,230,11,24
2833,4534,-1,31,7,35,0,2
2834,4540,4160,247,22,28,0,1
2835,4535,-1,309,20,11,2,0
2836,4541,3367,89,24,60,0,1
2837,4545,982,11,12,8,0,0
2838,4538,38153,678,37,131,1,3
2839,4551,1597,23,5,4,2,6
2840,4543,2043,31,19,9,0,0
2841,4542,20862,384,126,653,13,4
2842,4552,-1,660,177,27,11,74
2843,4553,26575,853,72,148,7,17
2844,4544,1184,10,6,8,0,1
2845,4549,741,18,9,9,0,0
2846,4550,977,55,14,6,0,1
2847,4548,1731,9,8,2,0,0
2848,4546,1080,16,12,13,1,0
2849,4556,1148,13,10,7,1,0
2850,4555,886,186,7,3,0,0
2851,4557,2461,181,36,8,2,0
2852,4560,7762,165,14,115,2,0
2853,4559,5289,174,27,73,2,0
2854,4558,3285,13,8,15,2,0
2855,4563,573,18,9,3,0,0
2856,4562,959,110,7,3,0,0
2857,4566,100740,3058,53,43,58,3
2858,4564,1893,74,13,23,2,0
2859,4561,1079,7,2,5,0,0
2860,4565,4707,129,16,14,0,3
2861,4567,1282,10,18,14,1,1
2862,4568,6525,399,29,1,0,0
2863,4571,6312,127,29,22,0,0
2864,4570,433,3,4,0,0,0
2865,4579,-1,479,38,365,15,20
2866,4581,2404,60,24,17,0,1
2867,4583,3059,91,15,11,1,2
2868,4586,1681,18,11,8,0,0
2869,4584,7610,158,18,43,0,0
2870,4587,-1,9207,2342,32850,3767,4262
2871,4582,1592,57,8,4,2,0
2872,4589,-1,303,18,44,2,0
2873,4588,1540,60,8,1,0,1
2874,4590,8221,847,50,87,19,2
2875,4593,3189,50,14,40,0,2
2876,4600,14412,516,88,39,1,1
2877,4596,598,11,11,6,0,0
2878,4595,3846,262,45,115,0,2
2879,4598,4468,107,20,7,0,0
2880,4599,16460,675,80,25,1,1
2881,4597,1525,4,7,1,0,0
2882,4602,12561,847,64,41,0,0
2883,4607,1354,52,8,26,3,1
2884,4606,3544,622,25,14,0,0
2885,4604,-1,48,9,1,0,1
2886,4603,3833,111,11,45,4,2
2887,4618,8636,214,32,24,1,1
2888,4619,952,44,8,9,0,0
2889,4620,8065,419,10,24,2,0
2890,4625,35827,587,83,987,150,36
2891,4624,3717,774,33,9,1,1
2892,4627,21120,633,48,149,6,8
2893,4632,3223,83,25,24,1,1
2894,4634,39297,683,315,1496,337,27
2895,4633,96542,5183,466,1428,78,11
2896,4637,2514,126,19,47,5,0
2897,4641,1298,22,4,0,0,0
2898,4640,7815,257,19,144,5,5
2899,4639,-1,252,44,76,16,8
2900,4644,23478,1156,132,922,48,18
2901,4645,17336,746,73,316,27,12
2902,4646,-1,2052,78,527,20,27
2903,4648,3767,186,42,11,2,0
2904,4651,10657,815,41,34,2,0
2905,4652,4277,226,47,55,6,5
2906,4650,2967,160,21,12,1,0
2907,4647,12291,186,26,117,5,0
2908,4658,14532,676,9,42,1,0
2909,4656,3068,233,24,42,0,0
2910,4660,4254,123,31,47,2,0
2911,4659,2219,101,27,10,0,1
2912,4662,6438,122,17,195,5,0
2913,4668,397,11,5,2,0,0
2914,4669,339,3,2,1,0,0
2915,4673,4089,401,26,29,4,0
2916,4672,1397,24,17,21,1,0
2917,4670,8934,798,50,30,0,1
2918,4671,5834,243,11,136,17,23
2919,4680,517,14,2,1,0,0
2920,4677,14512,177,19,102,15,0
2921,4681,766,19,14,8,2,0
2922,4679,7034,109,41,115,7,3
2923,4683,2790,275,29,3,0,0
2924,4682,-1,113,17,22,0,0
2925,4686,2924,56,27,7,0,1
2926,4684,3414,345,6,35,2,1
2927,4689,1796,92,4,1,0,0
2928,4692,6029,649,20,55,1,1
2929,4693,2616,74,5,22,1,0
2930,4687,925,27,10,12,0,0
2931,4695,11618,1629,79,197,20,4
2932,4697,1755,84,5,23,0,0
2933,4696,2948,289,17,25,2,2
2934,4698,2337,983,29,10,0,0
2935,4703,1488,91,5,11,1,0
2936,4699,9964,295,33,77,3,2
2937,4700,630,2,7,5,1,0
2938,4702,1698,149,16,12,0,0
2939,4704,1438,109,5,11,0,0
2940,4705,2432,114,13,3,0,0
2941,4706,1471,86,3,10,0,0
2942,4708,1825,160,8,11,2,0
2943,4711,8354,937,56,53,12,0
2944,4709,3211,77,17,41,1,0
2945,4714,911,14,5,5,1,0
2946,4710,10703,1576,49,99,7,4
2947,4716,505,8,4,6,0,1
2948,4715,1258,55,4,20,3,0
2949,4724,1668,32,14,6,0,0
2950,4723,2294,72,4,24,1,0
2951,4722,1186,100,9,6,1,0
2952,4725,10110,826,66,138,1,1
2953,4726,998,10,7,16,0,0
2954,4727,535,9,2,5,0,0
2955,4735,1925,6,6,4,0,2
2956,4734,6853,105,19,96,8,3
2957,4732,3567,74,7,9,0,0
2958,4739,2169,39,8,18,0,1
2959,4736,2141,95,16,4,0,0
2960,4730,3935,208,28,47,5,2
2961,4737,862,16,6,3,0,0
2962,4747,19785,509,69,169,5,7
2963,4751,4278,174,41,20,3,1
2964,4749,728,11,2,4,0,1
2965,4729,4075,109,12,46,0,0
2966,4756,6282,132,12,102,4,3
2967,4754,3703,46,18,4,0,0
2968,4755,1179,29,15,13,0,0
2969,4752,4317,123,14,5,0,0
2970,4766,2052,45,15,13,0,1
2971,4765,648,52,4,28,1,0
2972,4764,854,46,9,20,2,0
2973,4761,2783,138,16,11,2,1
2974,4762,1773,78,12,26,1,0
2975,4763,84300,14850,612,1090,48,7
2976,4767,4976,134,5,64,1,1
2977,4771,1065,11,2,1,0,0
2978,4772,35293,3110,60,115,5,1
2979,4774,1233,19,6,1,0,0
2980,4773,7115,221,22,149,6,5
2981,4778,1261,143,5,1,0,0
2982,4776,2879,332,13,3,0,0
2983,4781,3368,11,13,7,0,0
2984,4780,1121,20,20,15,1,0
2985,4783,1702,83,7,2,0,0
2986,4748,-1,262,38,42,1,0
2987,4728,979,280,8,3,0,2
2988,4784,56313,4257,39,406,27,2
2989,4786,4802,101,36,11,0,0
2990,4785,1913,39,18,6,0,1
2991,4789,5258,44,13,20,1,0
2992,4787,21015,356,17,130,7,2
2993,4793,36631,704,121,716,27,60
2994,4788,911,99,7,1,0,0
2995,4790,829,43,6,8,1,1
2996,4791,2120,257,9,23,3,0
2997,4795,1625,90,27,8,0,0
2998,4792,16888,2560,74,249,37,6
2999,4798,3305,458,18,18,0,0
3000,4802,1782,94,14,5,2,1
3001,4803,1055,47,8,10,0,0
3002,4801,1394,39,5,3,0,0
3003,4806,3452,84,0,9,0,1
3004,4811,3529,57,23,39,3,0
3005,4809,21116,0,737,53,10,0
3006,4812,1725,66,20,11,1,0
3007,4813,1666,123,20,16,3,1
3008,4815,7636,151,23,230,8,4
3009,4820,15330,267,54,202,4,2
3010,4816,15180,385,81,143,2,0
3011,4821,685,139,7,9,0,0
3012,4822,3945,119,20,123,9,1
3013,4826,27484,1342,164,350,36,23
3014,4824,155438,7975,436,2117,191,74
3015,4829,4760,471,47,16,0,0
3016,4827,1202,37,13,15,1,1
3017,4828,10999,59,56,26,0,0
3018,4831,750,11,2,1,0,0
3019,4837,1489,46,8,2,0,0
3020,4842,10707,183,18,22,0,1
3021,4840,6157,162,22,78,4,2
3022,4841,7459,325,24,16,1,0
3023,4847,1366,70,5,3,0,1
3024,4845,-1,16103,1719,29595,1823,7706
3025,4849,23461,1025,178,470,9,5
3026,4852,1085,75,16,24,4,0
3027,4851,3962,264,32,36,0,0
3028,4848,4455,314,16,8,1,0
3029,4855,1083,31,19,1,0,0
3030,4857,1779,18,8,2,1,1
3031,4856,12485,526,68,4,14,6
3032,4860,744,14,5,1,0,0
3033,4861,19211,58,23,98,2,0
3034,4862,10760,268,58,145,12,0
3035,4867,47419,608,192,712,18,11
3036,4865,-1,767,133,1515,33,119
3037,4864,2203,26,10,36,0,1
3038,4870,3352,71,6,36,2,1
3039,4873,95462,5828,438,1520,48,31
3040,4871,23337,2961,47,546,49,22
3041,4866,1185,23,6,13,2,1
3042,4877,676,22,9,6,0,0
3043,4872,3391,588,21,7,3,0
3044,4875,4966,203,32,26,2,7
3045,4876,2024,18,11,21,1,0
3046,4879,10027,96,29,68,1,0
3047,4883,4557,73,34,51,0,0
3048,4889,12676,520,52,49,15,3
3049,4886,1577,1,3,4,0,2
3050,4888,643,14,4,4,0,0
3051,4887,1626,3,6,3,0,1
3052,4890,2450,87,14,6,0,1
3053,4892,1826,30,7,6,0,0
3054,4893,31207,836,56,475,21,23
3055,4895,1739,66,11,23,0,0
3056,4894,126483,1371,365,1430,70,12
3057,4900,1195,41,12,2,0,1
3058,4896,891,68,7,14,2,0
3059,4903,821974,18608,942,1626,527,359
3060,4905,2261,53,27,14,1,0
3061,4906,1410,54,5,2,0,0
3062,4902,1455,70,7,5,2,1
3063,4914,5631,99,27,49,1,3
3064,4915,3630,206,30,64,1,1
3065,4917,4403,597,31,2,1,0
3066,4913,10236,529,19,88,0,2
3067,4920,7895,693,17,11,0,2
3068,4918,241712,1832,323,1106,53,16
3069,4921,18105,1038,22,182,6,0
3070,4923,4268,175,51,51,1,3
3071,4928,1352,152,6,10,0,0
3072,4932,829,376,5,3,0,0
3073,4929,1723,83,19,1,0,0
3074,4933,2252,73,19,2,0,0
3075,4940,865,62,6,3,0,0
3076,4941,41960,1042,107,145,29,3
3077,4943,18242,1559,105,363,26,11
3078,4942,592,7,2,4,0,1
3079,4948,22488,1093,58,350,33,14
3080,4946,1950,266,9,6,0,0
3081,4945,59267,4599,788,2681,197,64
3082,4950,1490,62,7,15,0,0
3083,4955,1116,65,7,27,1,0
3084,4952,413,25,5,4,0,1
3085,4949,5188,51,14,25,0,0
3086,4953,2949,23,17,59,6,0
3087,4960,2247,171,15,23,1,0
3088,4965,4105,333,44,40,1,1
3089,4966,2672,31,13,4,0,0
3090,4963,10830,975,46,19,0,0
3091,4964,3830,354,26,45,1,0
3092,4969,1155,13,9,3,0,1
3093,4968,1566,113,17,17,0,0
3094,4970,20686,595,65,139,4,3
3095,4967,5226,599,10,26,2,0
3096,4971,3057,64,12,72,14,0
3097,4977,16573,1819,34,129,7,8
3098,4974,2441,401,11,3,0,0
3099,4976,3261,392,45,41,0,0
3100,4978,2967,56,6,33,0,0
3101,4979,9162,787,18,97,3,0
3102,4981,5282,304,12,27,1,1
3103,4984,24551,2116,55,928,17,6
3104,4990,185354,14230,291,1224,152,76
3105,4991,37085,1263,220,1107,51,16
3106,4993,17613,212,10,7,0,0
3107,4994,21044,714,48,351,0,1
3108,5001,1484,34,19,2,0,0
3109,4999,19163,2296,30,190,7,0
3110,4998,2276,120,15,11,0,0
3111,5002,756,24,7,3,0,0
3112,5008,874,10,3,3,0,0
3113,5006,49,310,29,5,0,0
3114,5007,6108,946,22,16,0,2
3115,5009,25485,603,114,662,134,36
3116,5014,1887,411,18,0,0,0
3117,5013,2427,108,9,6,2,0
3118,5017,11776,10,12,11,5,1
3119,5015,13896,526,32,69,2,0
3120,5020,5255,43,15,11,7,0
3121,5019,23220,1471,56,41,5,0
3122,5022,33450,273,128,271,11,1
3123,5026,1391,206,15,4,0,0
3124,5024,66,126,32,37,0,0
3125,5025,11775,559,89,124,2,0
3126,5027,7879,232,6,107,4,5
3127,5041,4377,162,26,89,3,1
3128,5040,10785,545,34,157,8,13
3129,5039,4846,661,38,13,0,0
3130,5036,3216,33,9,20,2,0
3131,5037,4518,389,26,10,1,0
3132,5045,14406,541,49,451,21,18
3133,5047,8231,248,27,35,0,2
3134,5048,60580,12507,1410,1170,312,161
3135,5050,4839,75,15,53,3,1
3136,5052,155622,3733,195,660,85,32
3137,5051,7155,424,33,56,2,0
3138,5058,9984,101,12,3,0,1
3139,5054,3551,48,8,24,1,0
3140,5062,5466,58,4,4,5,0
3141,5059,3515,47,9,58,4,4
3142,5057,6265,47,5,3,0,0
3143,5060,618,150,74,74,2,2
3144,5065,194,61,3,1,1,1
3145,5066,2669,111,11,5,1,1
3146,5068,49594,7383,129,273,39,43
3147,5070,11765,508,12,10,2,1
3148,5071,719,4,3,1,1,1
3149,5069,4458,87,12,1,3,1
3150,5073,1276,13,8,13,4,0
3151,5083,2169,90,25,66,0,1
3152,5078,1313,68,6,6,1,0
3153,5088,237,70,24,5,1,1
3154,5084,-1,385,30,15,0,0
3155,5089,1659,20,10,1,1,1
3156,5087,1955,88,23,18,0,0
3157,5091,123794,5709,642,3344,88,49
3158,5090,9218,142,27,65,1,0
3159,5097,56518,922,161,816,33,15
3160,5095,2666,112,14,6,0,0
3161,5094,3765,120,11,4,0,0
3162,5100,6855,272,21,16,0,0
3163,5105,43960,862,157,687,43,6
3164,5108,594,119,12,3,0,0
3165,5103,2248,232,10,2,0,0
3166,5106,2476,154,11,1,1,0
3167,5110,2201,96,17,44,2,0
3168,5109,1076,7,2,7,1,2
3169,5112,498,109,17,80,10,2
3170,5119,13903,309,81,337,19,3
3171,5111,159,63,10,28,0,1
3172,5116,658,17,8,11,0,0
3173,5118,5316,959,13,14,2,1
3174,5125,33961,43,22,23,1,0
3175,5121,18506,546,43,208,9,5
3176,5126,1466,15,14,26,1,2
3177,5127,1476,32,10,11,0,0
3178,5129,1713,62,12,11,2,1
3179,5128,1037,39,6,14,0,1
3180,5133,292,1062,35,99,2,2
3181,5131,118,35,7,10,0,0
3182,5135,887,23,19,1,0,0
3183,5132,-1,3020,200,439,11,2
3184,5134,2034,48,16,10,0,0
3185,5141,764,13,7,1,0,0
3186,5146,3715,172,6,9,1,0
3187,5150,1581,10,8,12,0,0
3188,5152,6765,933,13,3,0,1
3189,5155,2806,133,11,21,3,0
3190,5159,6015,411,31,59,0,0
3191,5157,6201,188,31,52,4,5
3192,5164,941,43,10,7,0,0
3193,5163,304,107,23,22,0,1
3194,5167,9532,360,29,63,1,7
3195,5169,888,107,10,29,1,1
3196,5168,4256,419,15,27,11,0
3197,5171,1655,41,1,10,1,0
3198,5170,3437,143,27,29,1,0
3199,5173,2615,38,12,9,0,0
3200,5172,4647,495,24,52,2,0
3201,5175,11692,507,87,157,7,5
3202,5179,3983,189,5,9,0,2
3203,5178,44851,17951,174,574,23,7
3204,5180,2567,219,20,13,0,2
3205,5183,8646,379,17,17,2,0
3206,5186,1568,23,13,1,0,0
3207,5189,46,149,8,5,1,1
3208,5182,2823,397,54,5,0,1
3209,5194,6249,668,28,13,1,0
3210,5192,18660,1058,94,108,9,2
3211,5197,829,87,5,13,1,1
3212,5196,1779,125,14,5,0,0
3213,5199,2046,401,16,26,2,0
3214,5198,8756,404,23,122,5,1
3215,5206,3456,394,21,14,0,2
3216,5202,512,5,2,7,0,0
3217,5205,1789,210,8,6,0,0
3218,5204,31596,1195,49,628,22,6
3219,5211,2893,220,19,7,0,2
3220,5209,3413,293,16,17,0,1
3221,5208,3399,4,2,6,1,0
3222,5212,526,113,9,24,1,1
3223,5217,841,15,8,1,0,0
3224,5222,5683,167,30,42,1,0
3225,5220,13256,844,65,135,32,4
3226,5225,5359,165,20,48,1,1
3227,5229,1074,18,5,8,3,0
3228,5227,619,45,4,5,0,0
3229,5230,2833,115,16,2,0,0
3230,5233,7987,578,45,292,14,5
3231,5228,2356,127,14,6,0,0
3232,5234,1922,142,6,3,0,0
3233,5238,5557,244,33,186,21,7
3234,5239,32325,1979,185,742,43,11
3235,5244,19991,66,29,98,0,0
3236,5240,143,27,4,1,0,0
3237,5243,15073,430,23,189,10,27
3238,5241,320,84,21,5,0,1
3239,5245,7308,140,30,44,2,1
3240,5246,1464,59,13,14,0,0
3241,5252,20007,218,108,186,10,1
3242,5242,6437,283,16,27,0,2
3243,5247,1973,128,6,11,0,1
3244,5257,1129,31,3,9,4,0
3245,5261,455,8,4,4,0,0
3246,5256,1713,37,14,13,1,0
3247,5258,7567,93,13,117,21,10
3248,5255,2361,9,3,1,0,0
3249,5260,2355,18,4,6,0,0
3250,5262,515,7,4,2,0,0
3251,5263,4661,62,3,26,0,1
3252,5267,42631,2537,204,350,28,3
3253,5265,57,31,21,6,2,0
3254,5266,2931,141,10,11,0,0
3255,5268,1750,131,14,1,0,0
3256,5273,3753,154,14,6,0,2
3257,5270,1824,127,3,2,0,1
3258,5274,3391,39,22,76,12,1
3259,5272,21364,1025,24,27,18,0
3260,5276,6905,15,2,20,0,0
3261,5277,1584,369,8,4,1,0
3262,5275,1363,0,6,8,0,0
3263,5278,16265,312,39,82,3,5
3264,5282,1848,9,4,11,0,0
3265,5281,1655,32,12,5,0,0
3266,5284,11199,556,21,132,5,0
3267,5283,1266,8,6,2,0,1
3268,5286,3210,279,25,19,0,0
3269,5290,-1,179,54,7,0,2
3270,5293,995,67,4,2,2,0
3271,5291,156,1292,28,19,1,0
3272,5295,1534,44,5,14,0,2
3273,5298,4994,718,33,47,2,0
3274,5297,5084,103,29,214,12,1
3275,5294,1882,59,9,51,3,1
3276,5301,2110,48,13,33,1,1
3277,5303,980,41,10,1,0,0
3278,5309,1617,41,5,1,0,1
3279,5305,132225,23665,361,2134,155,33
3280,5307,-1,982,13,11,1,1
3281,5314,114,257,17,3,0,0
3282,5312,1138,10,3,4,0,0
3283,5315,1156,21,13,4,0,1
3284,5313,20180,1513,63,261,62,0
3285,5318,528,6,7,5,0,0
3286,5319,1027,40,13,14,0,0
3287,5321,1667,48,20,13,1,0
3288,5316,155,84,50,22,0,0
3289,5317,-1,4235,557,3597,254,189
3290,5322,636,7,3,3,0,0
3291,5323,216115,11443,168,1113,141,146
3292,5324,637,6,5,6,0,2
3293,4387,5619,164,5,8,1,0
3294,5325,-1,487,348,203,121,45
3295,5327,1568,83,11,8,0,0
3296,5330,4038,499,19,36,1,1
3297,5326,1702,119,8,32,3,1
3298,5332,138,18,7,6,0,1
3299,5336,455,15,7,6,1,0
3300,5329,5406,158,36,31,2,1
3301,5331,30020,5349,88,149,106,7
3302,5337,5017,65,24,87,3,1
3303,5339,4514,230,10,11,1,1
3304,5342,13475,1480,27,56,2,1
3305,5343,1276,19,5,2,0,0
3306,5344,-1,9643,239,5101,292,16
3307,5340,393,3,2,1,0,0
3308,5346,6303,603,36,34,1,0
3309,5347,1402,90,10,4,0,1
3310,5348,3685,255,19,27,0,0
3311,5349,2080,222,15,1,0,0
3312,5353,3863,29,6,1,0,0
3313,5357,139,28,4,12,0,0
3314,5356,9629,100,18,59,1,0
3315,5355,868,12,2,3,0,2
3316,5359,914,7,4,4,0,0
3317,5360,1764,17,5,12,0,0
3318,5361,3116,103,18,3,0,0
3319,5362,16,15,11,7,0,0
3320,5363,2525,94,22,4,0,0
3321,5366,60867,5765,175,3117,109,30
3322,5364,4155,99,21,80,2,1
3323,5369,59139,2034,476,451,6,7
3324,5368,39389,2900,74,76,15,1
3325,5367,3910,94,16,31,1,1
3326,5370,817,37,2,1,0,0
3327,5365,3141,252,13,5,1,1
3328,5374,64005,1044,56,59,35,3
3329,5373,129128,4766,90,208,33,5
3330,5382,508,14,4,3,0,0
3331,5380,2626,38,10,21,2,0
3332,5379,21826,681,113,264,14,2
3333,5376,385088,4348,426,300,199,36
3334,5381,2106,133,17,5,0,0
3335,5385,509,12,4,4,0,0
3336,5386,2381,516,15,23,1,0
3337,5390,26623,532,99,330,25,1
3338,5384,804,20,6,9,0,0
3339,5383,60,127,6,5,0,1
3340,5393,76217,1636,72,78,10,3
3341,5392,2245,58,9,32,3,3
3342,5394,1993,65,9,26,0,0
3343,5396,1342,13,3,4,0,0
3344,5398,1671,163,6,39,0,0
3345,5402,2613,157,21,44,4,3
3346,5407,-1,93,13,4,0,0
3347,5406,1155,15,5,1,0,0
3348,5413,1370,28,6,15,0,1
3349,5412,397,2,4,1,0,0
3350,5411,961,298,8,6,0,0
3351,5418,2649,66,44,11,0,0
3352,5421,2005,29,17,5,0,0
3353,5417,2446,45,7,2,0,1
3354,5420,1949,33,7,3,1,0
3355,5424,1236,14,5,1,0,1
3356,5422,807,39,4,3,0,0
3357,5423,1777,32,9,12,0,0
3358,5425,6781,654,38,58,4,0
3359,5426,8,5,7,5,0,1
3360,5428,8028,112,28,76,2,0
3361,5429,8210,107,31,42,0,2
3362,5430,3674,117,14,53,1,1
3363,5432,11587,525,45,111,6,0
3364,5433,1174,30,5,2,0,0
3365,5434,498,3,2,5,0,0
3366,5436,5938,75,20,38,2,2
3367,5437,3379,45,9,17,0,0
3368,5435,4965,293,6,9,2,0
3369,5438,1158,78,131,31,2,1
3370,5440,5593,123,20,10,1,0
3371,5441,-1,31,13,18,0,1
3372,5442,2031,181,12,34,1,0
3373,5445,188,219,8,21,0,0
3374,5448,1933,214,10,1,0,1
3375,5446,1661,32,7,19,0,2
3376,5455,-1,90,60,33,0,1
3377,5444,740,3,4,4,0,0
3378,5450,1970,226,6,15,2,0
3379,5451,5868,33,17,6,0,0
3380,5459,3663,109,14,21,2,0
3381,5463,525,0,3,2,0,1
3382,5460,4241,91,13,18,0,1
3383,5464,1383,14,0,5,0,1
3384,5456,2107,61,6,9,0,0
3385,5457,5937,45,11,24,1,0
3386,5462,62,95,12,18,1,0
3387,5465,92527,1326,302,2727,199,32
3388,5468,2176,105,10,11,0,0
3389,5470,482,35,0,2,0,0
3390,5469,1333,101,8,3,0,0
3391,5478,1160,59,14,7,1,0
3392,5474,366,1,0,5,0,0
3393,5475,1392,96,2,1,0,2
3394,5472,13,3,1,1,0,0
3395,5483,873,23,4,1,0,1
3396,5473,1450,23,4,1,0,0
3397,5485,113583,835,53,156,31,3
3398,5477,22636,540,210,227,2,2
3399,5488,86798,1302,63,69,10,1
3400,5487,782,140,28,216,15,11
3401,5486,44665,1415,30,52,4,0
3402,5491,2722,59,17,37,2,1
3403,5490,1141,52,13,37,2,2
3404,5494,-1,17,6,13,0,0
3405,5495,8841,70,12,97,0,0
3406,5497,3129,162,9,5,0,0
3407,5501,42074,835,32,49,20,1
3408,5500,19408,182,42,151,3,0
3409,5505,-1,12,10,10,0,0
3410,5504,3506,101,21,43,0,1
3411,5508,1413,176,3,2,0,1
3412,5507,-1,446,86,112,26,10
3413,5510,5079,254,19,16,0,0
3414,5509,111,28,12,13,0,1
3415,5513,-1,102,9,16,1,0
